Date,state,precipitation (inch)
200401,IL,1.98
200402,IL,0.76
200403,IL,4.14
200404,IL,1.8
200405,IL,6.83
200406,IL,3.17
200407,IL,4.13
200408,IL,5.08
200409,IL,0.68
200410,IL,4.84
200411,IL,4.76
200412,IL,1.8
200501,IL,5.34
200502,IL,1.88
200503,IL,1.56
200504,IL,2.57
200505,IL,1.74
200506,IL,1.87
200507,IL,3.23
200508,IL,3.68
200509,IL,3.63
200510,IL,1.26
200511,IL,3.51
200512,IL,1.16
200601,IL,2.74
200602,IL,0.88
200603,IL,4.58
200604,IL,3.79
200605,IL,3.58
200606,IL,2.98
200607,IL,4.09
200608,IL,4.05
200609,IL,3.42
200610,IL,3.8
200611,IL,3.32
200612,IL,3.4
200701,IL,2.93
200702,IL,2.31
200703,IL,3.21
200704,IL,3.51
200705,IL,2.24
200706,IL,4.13
200707,IL,3.31
200708,IL,4.36
200709,IL,1.59
200710,IL,3.5
200711,IL,1.72
200712,IL,3.87
200801,IL,2.43
200802,IL,4.4
200803,IL,4.53
200804,IL,4.34
200805,IL,5.36
200806,IL,5.49
200807,IL,5.91
200808,IL,1.93
200809,IL,7.62
200810,IL,2.42
200811,IL,1.49
200812,IL,4.25
200901,IL,1.01
200902,IL,2.43
200903,IL,4.05
200904,IL,6.16
200905,IL,5.65
200906,IL,5.12
200907,IL,4.59
200908,IL,4.72
200909,IL,2.28
200910,IL,8.49
200911,IL,2.48
200912,IL,3.98
201001,IL,1.44
201002,IL,1.53
201003,IL,2.74
201004,IL,3.36
201005,IL,5.4
201006,IL,7.71
201007,IL,5.35
201008,IL,3.18
201009,IL,3.73
201010,IL,1.32
201011,IL,3.15
201012,IL,1.77
201101,IL,1.19
201102,IL,3.24
201103,IL,2.72
201104,IL,7.62
201105,IL,5.28
201106,IL,6.69
201107,IL,3.61
201108,IL,1.87
201109,IL,3.56
201110,IL,1.8
201111,IL,5.17
201112,IL,3.35
201201,IL,1.89
201202,IL,1.48
201203,IL,2.08
201204,IL,3.13
201205,IL,2.47
201206,IL,1.73
201207,IL,1.4
201208,IL,3.5
201209,IL,5.04
201210,IL,3.93
201211,IL,1.21
201212,IL,2.25
201301,IL,3.81
201302,IL,2.65
201303,IL,2.61
201304,IL,6.93
201305,IL,6.57
201306,IL,5.33
201307,IL,3.16
201308,IL,1.44
201309,IL,1.69
201310,IL,3.33
201311,IL,2.49
201312,IL,2.48
201401,IL,1.72
201402,IL,2.22
201403,IL,1.46
201404,IL,5.15
201405,IL,3.29
201406,IL,6.77
201407,IL,3.29
201408,IL,5.19
201409,IL,4.11
201410,IL,4.33
201411,IL,1.86
201412,IL,1.9
201501,IL,1.5
201502,IL,1.43
201503,IL,2.35
201504,IL,3.41
201505,IL,5.39
201506,IL,9.44
201507,IL,5.21
201508,IL,3.02
201509,IL,3.42
201510,IL,1.44
201511,IL,5.52
201512,IL,6.67
201601,IL,0.86
201602,IL,1.31
201603,IL,3.35
201604,IL,3.3
201605,IL,4.34
201606,IL,3.13
201607,IL,6.9
201608,IL,6.77
201609,IL,3.42
201610,IL,2.38
201611,IL,2.58
201612,IL,1.4
201701,IL,2.13
201702,IL,0.73
201703,IL,3.56
201704,IL,6.88
201705,IL,5.17
201706,IL,3.19
201707,IL,4.81
201708,IL,2.4
201709,IL,0.83
201710,IL,5
201711,IL,2.26
201712,IL,0.84
201801,IL,1.3
201802,IL,4.88
201803,IL,3.91
201804,IL,2.42
201805,IL,3.8
201806,IL,6.29
201807,IL,3.44
201808,IL,4.91
201809,IL,4.9
201810,IL,3.68
201811,IL,3.01
201812,IL,3.25
201901,IL,3.31
201902,IL,3.21
201903,IL,4.06
201904,IL,4.58
201905,IL,8.16
201906,IL,5.16
201907,IL,3.05
201908,IL,4.05
201909,IL,5
201910,IL,5
201911,IL,2.4
201912,IL,1.88
202001,IL,4.36
202002,IL,2
202003,IL,3.95
202004,IL,4.32
202005,IL,5.28
202006,IL,3.61
202007,IL,5.61
202008,IL,1.91
202009,IL,3.26
202010,IL,2.97
202011,IL,2.95
202012,IL,1.71
202101,IL,2.46
202102,IL,1.67
202103,IL,3.97
202104,IL,3.04
202105,IL,4.31
202106,IL,5.17
202107,IL,4.97
202108,IL,3.73
202109,IL,2.29
202110,IL,6.02
202111,IL,0.86
202112,IL,2.52
202201,IL,1.05
202202,IL,3.16
202203,IL,4.36
202204,IL,3.55
202205,IL,4.08
202206,IL,2.76
202207,IL,5.28
202208,IL,4.06
202209,IL,2.54
202210,IL,2.22
202211,IL,1.82
202212,IL,2.37
202301,IL,2.62
202302,IL,2.83
202303,IL,4.34
202304,IL,2.55
202305,IL,2.48
202306,IL,1.89
202307,IL,4.75
202308,IL,4.01
202309,IL,2.4
202310,IL,3.3
202311,IL,0.72
202312,IL,2.76
200101,IN,1.02
200102,IN,2.86
200103,IN,0.97
200104,IN,2.75
200105,IN,4.32
200106,IN,4.09
200107,IN,5.46
200108,IN,4.02
200109,IN,3.76
200110,IN,7.75
200111,IN,3.34
200112,IN,3.62
200201,IN,2.24
200202,IN,2.32
200203,IN,4.38
200204,IN,5.59
200205,IN,7.09
200206,IN,3.28
200207,IN,2.64
200208,IN,2.82
200209,IN,3.75
200210,IN,2.87
200211,IN,2.35
200212,IN,2.86
200301,IN,1.42
200302,IN,2.74
200303,IN,2.16
200304,IN,3
200305,IN,6.56
200306,IN,3.26
200307,IN,8.18
200308,IN,3.54
200309,IN,6.2
200310,IN,2.4
200311,IN,4.26
200312,IN,2.68
200401,IN,3.48
200402,IN,0.83
200403,IN,3.46
200404,IN,1.83
200405,IN,7.17
200406,IN,4.43
200407,IN,5.19
200408,IN,4.85
200409,IN,0.72
200410,IN,4.14
200411,IN,4.73
200412,IN,2.57
200501,IN,7.11
200502,IN,2.25
200503,IN,2.12
200504,IN,3.04
200505,IN,2.57
200506,IN,3.21
200507,IN,4.43
200508,IN,4.76
200509,IN,4.1
200510,IN,1.24
200511,IN,3.91
200512,IN,2.15
200601,IN,3.28
200602,IN,1.62
200603,IN,5.14
200604,IN,4.27
200605,IN,5.25
200606,IN,4.2
200607,IN,4.85
200608,IN,4.76
200609,IN,4.56
200610,IN,5.01
200611,IN,3.25
200612,IN,4.83
200701,IN,4.75
200702,IN,2.43
200703,IN,3.54
200704,IN,4.15
200705,IN,1.75
200706,IN,3.28
200707,IN,3.17
200708,IN,4.55
200709,IN,2.53
200710,IN,3.81
200711,IN,2.77
200712,IN,5.06
200801,IN,3.23
200802,IN,4.81
200803,IN,6.48
200804,IN,3.36
200805,IN,5.68
200806,IN,6.58
200807,IN,4.32
200808,IN,2.01
200809,IN,3.86
200810,IN,2.23
200811,IN,2.11
200812,IN,5.02
200901,IN,1.62
200902,IN,2.8
200903,IN,3.23
200904,IN,5.74
200905,IN,5.67
200906,IN,4.69
200907,IN,4.43
200908,IN,3.76
200909,IN,2.87
200910,IN,6.69
200911,IN,1.46
200912,IN,3.1
201001,IN,1.52
201002,IN,1.48
201003,IN,3.1
201004,IN,3.16
201005,IN,5.49
201006,IN,7.68
201007,IN,4.15
201008,IN,1.84
201009,IN,1.35
201010,IN,1.17
201011,IN,5.01
201012,IN,1.44
201101,IN,1.5
201102,IN,4.21
201103,IN,3.46
201104,IN,9.61
201105,IN,6.51
201106,IN,5.22
201107,IN,2.74
201108,IN,2.55
201109,IN,5.31
201110,IN,3.29
201111,IN,6.21
201112,IN,4.58
201201,IN,3.4
201202,IN,1.54
201203,IN,2.73
201204,IN,2.22
201205,IN,2.75
201206,IN,1.29
201207,IN,2.53
201208,IN,4.05
201209,IN,5.17
201210,IN,3.95
201211,IN,0.98
201212,IN,3.21
201301,IN,4.71
201302,IN,2.21
201303,IN,2.3
201304,IN,6.38
201305,IN,3.71
201306,IN,6.24
201307,IN,3.21
201308,IN,1.84
201309,IN,2.99
201310,IN,4.12
201311,IN,3.04
201312,IN,4.39
201401,IN,2.33
201402,IN,2.64
201403,IN,1.85
201404,IN,5.73
201405,IN,4.23
201406,IN,5.61
201407,IN,3.36
201408,IN,4.96
201409,IN,3.48
201410,IN,4.13
201411,IN,2.66
201412,IN,2.59
201501,IN,2.11
201502,IN,1.4
201503,IN,3.54
201504,IN,4.79
201505,IN,3.98
201506,IN,9.07
201507,IN,6.23
201508,IN,2.57
201509,IN,2.39
201510,IN,2.42
201511,IN,3.57
201512,IN,5.44
201601,IN,1.34
201602,IN,2.78
201603,IN,4.46
201604,IN,4.17
201605,IN,3.53
201606,IN,4.28
201607,IN,5.13
201608,IN,6.48
201609,IN,3.66
201610,IN,2.61
201611,IN,2.58
201612,IN,2.36
201701,IN,3.68
201702,IN,1.35
201703,IN,4.04
201704,IN,4.83
201705,IN,6.9
201706,IN,4.37
201707,IN,6.07
201708,IN,2.26
201709,IN,2.03
201710,IN,4.32
201711,IN,4.43
201712,IN,1.33
201801,IN,2.05
201802,IN,5.91
201803,IN,3.92
201804,IN,3.59
201805,IN,3.42
201806,IN,6.55
201807,IN,3.37
201808,IN,5.33
201809,IN,5.4
201810,IN,2.82
201811,IN,4.32
201812,IN,3.35
201901,IN,3.5
201902,IN,4.45
201903,IN,4.18
201904,IN,5.62
201905,IN,6.02
201906,IN,6.12
201907,IN,3.61
201908,IN,3.51
201909,IN,2.26
201910,IN,4.29
201911,IN,2.7
201912,IN,3.26
202001,IN,4.65
202002,IN,2.81
202003,IN,4.62
202004,IN,3.05
202005,IN,5.07
202006,IN,3.52
202007,IN,4.58
202008,IN,3.31
202009,IN,1.53
202010,IN,4.44
202011,IN,3.02
202012,IN,1.8
202101,IN,2.45
202102,IN,2.21
202103,IN,3.82
202104,IN,2.94
202105,IN,3.72
202106,IN,5.93
202107,IN,5.44
202108,IN,3.42
202109,IN,4.06
202110,IN,6.03
202111,IN,1.43
202112,IN,4
202201,IN,1.68
202202,IN,4.53
202203,IN,4.02
202204,IN,3.3
202205,IN,5.06
202206,IN,2.34
202207,IN,5.49
202208,IN,3.83
202209,IN,2.26
202210,IN,1.79
202211,IN,1.6
202212,IN,2.28
202301,IN,3.35
202302,IN,3.1
202303,IN,5.78
202304,IN,2.78
202305,IN,2.56
202306,IN,2.55
202307,IN,5.24
202308,IN,3.84
202309,IN,1.36
202310,IN,3.51
202311,IN,0.78
202312,IN,2.2
200101,IA,1.42
200102,IA,2.16
200103,IA,1.3
200104,IA,3.6
200105,IA,7.04
200106,IA,4.07
200107,IA,3.12
200108,IA,2.97
200109,IA,4.07
200110,IA,2.46
200111,IA,1.55
200112,IA,0.83
200201,IA,0.4
200202,IA,0.89
200203,IA,1.16
200204,IA,3.62
200205,IA,4.1
200206,IA,3.51
200207,IA,4.24
200208,IA,5.81
200209,IA,1.71
200210,IA,3.58
200211,IA,0.22
200212,IA,0.24
200301,IA,0.39
200302,IA,0.82
200303,IA,1.15
200304,IA,3.25
200305,IA,4.61
200306,IA,4.48
200307,IA,4.11
200308,IA,1.03
200309,IA,3.11
200310,IA,1
200311,IA,3.46
200312,IA,1.28
200401,IA,0.96
200402,IA,1.17
200403,IA,3.75
200404,IA,1.85
200405,IA,7.74
200406,IA,3.55
200407,IA,4.33
200408,IA,4.56
200409,IA,2.66
200410,IA,2.05
200411,IA,2.21
200412,IA,0.58
200501,IA,1.31
200502,IA,1.52
200503,IA,1.05
200504,IA,3.45
200505,IA,3.85
200506,IA,5.25
200507,IA,3.27
200508,IA,3.02
200509,IA,3.29
200510,IA,0.91
200511,IA,1.75
200512,IA,1.17
200601,IA,0.99
200602,IA,0.32
200603,IA,3.17
200604,IA,4.3
200605,IA,2.44
200606,IA,2.49
200607,IA,3.22
200608,IA,5.75
200609,IA,4.22
200610,IA,1.64
200611,IA,1.77
200612,IA,2.09
200701,IA,0.91
200702,IA,1.68
200703,IA,2.86
200704,IA,4.56
200705,IA,5.35
200706,IA,3.38
200707,IA,3.38
200708,IA,9.69
200709,IA,2.87
200710,IA,5.1
200711,IA,0.18
200712,IA,2.44
200801,IA,0.68
200802,IA,1.71
200803,IA,1.26
200804,IA,5.86
200805,IA,5.67
200806,IA,8.88
200807,IA,5.88
200808,IA,1.96
200809,IA,4.16
200810,IA,3.25
200811,IA,1.72
200812,IA,1.88
200901,IA,0.68
200902,IA,0.79
200903,IA,2.97
200904,IA,3.6
200905,IA,3.64
200906,IA,5.29
200907,IA,4.62
200908,IA,5.75
200909,IA,1.73
200910,IA,6.35
200911,IA,1.19
200912,IA,2.54
201001,IA,1.3
201002,IA,0.96
201003,IA,1.72
201004,IA,3.7
201005,IA,4.19
201006,IA,10.28
201007,IA,7.89
201008,IA,4.83
201009,IA,5.4
201010,IA,0.91
201011,IA,1.64
201012,IA,1.23
201101,IA,0.94
201102,IA,1.39
201103,IA,1.5
201104,IA,3.81
201105,IA,5
201106,IA,6.19
201107,IA,3.4
201108,IA,3.02
201109,IA,1.68
201110,IA,0.74
201111,IA,2.08
201112,IA,2.08
201201,IA,0.57
201202,IA,1.68
201203,IA,1.91
201204,IA,3.9
201205,IA,3.51
201206,IA,2.81
201207,IA,1.17
201208,IA,2.88
201209,IA,1.62
201210,IA,2.98
201211,IA,1.05
201212,IA,1.52
201301,IA,0.95
201302,IA,1.27
201303,IA,2.09
201304,IA,6.43
201305,IA,8.65
201306,IA,4.89
201307,IA,1.74
201308,IA,1.49
201309,IA,1.94
201310,IA,2.78
201311,IA,1.59
201312,IA,0.62
201401,IA,0.43
201402,IA,1.5
201403,IA,0.81
201404,IA,4.65
201405,IA,3.04
201406,IA,9.66
201407,IA,3.3
201408,IA,5.92
201409,IA,4.35
201410,IA,3.17
201411,IA,0.76
201412,IA,1.1
201501,IA,0.52
201502,IA,1.11
201503,IA,0.56
201504,IA,3.37
201505,IA,5.06
201506,IA,6.38
201507,IA,5.5
201508,IA,5.28
201509,IA,4.18
201510,IA,1.76
201511,IA,4.08
201512,IA,4.71
201601,IA,0.59
201602,IA,0.88
201603,IA,2.28
201604,IA,3.19
201605,IA,4.36
201606,IA,3.7
201607,IA,5.92
201608,IA,6.14
201609,IA,6.12
201610,IA,2.01
201611,IA,1.39
201612,IA,1.52
201701,IA,1.56
201702,IA,0.99
201703,IA,2.56
201704,IA,3.8
201705,IA,4.8
201706,IA,3.5
201707,IA,2.94
201708,IA,3.83
201709,IA,2.31
201710,IA,5.26
201711,IA,0.41
201712,IA,0.39
201801,IA,1.02
201802,IA,1.54
201803,IA,2.28
201804,IA,1.54
201805,IA,4.7
201806,IA,7.55
201807,IA,3.39
201808,IA,6.42
201809,IA,8.1
201810,IA,4.63
201811,IA,1.81
201812,IA,2.1
201901,IA,1.28
201902,IA,2.34
201903,IA,2.19
201904,IA,3.03
201905,IA,8.21
201906,IA,3.91
201907,IA,3.38
201908,IA,3.53
201909,IA,6.21
201910,IA,4.78
201911,IA,1.49
201912,IA,1.28
202001,IA,1.41
202002,IA,0.43
202003,IA,2.91
202004,IA,1.65
202005,IA,4.57
202006,IA,4.95
202007,IA,2.93
202008,IA,1.23
202009,IA,4.07
202010,IA,1.9
202011,IA,2.09
202012,IA,1.14
202101,IA,1.24
202102,IA,0.79
202103,IA,2.78
202104,IA,1.51
202105,IA,3.85
202106,IA,3.35
202107,IA,4.01
202108,IA,4.65
202109,IA,1.81
202110,IA,5
202111,IA,0.98
202112,IA,0.87
202201,IA,0.78
202202,IA,0.28
202203,IA,2.65
202204,IA,3.22
202205,IA,3.59
202206,IA,3.53
202207,IA,3.23
202208,IA,3.49
202209,IA,1.9
202210,IA,0.92
202211,IA,2.04
202212,IA,1.69
202301,IA,1.93
202302,IA,2.26
202303,IA,1.46
202304,IA,2.14
202305,IA,2.67
202306,IA,2.81
202307,IA,3.09
202308,IA,3.04
202309,IA,2.14
202310,IA,3.24
202311,IA,0.31
202312,IA,1.84
200101,KS,1.31
200102,KS,2.46
200103,KS,1.48
200104,KS,1.81
200105,KS,5.26
200106,KS,3.81
200107,KS,3.71
200108,KS,2.4
200109,KS,3.55
200110,KS,1.11
200111,KS,0.58
200112,KS,0.27
200201,KS,1.06
200202,KS,0.42
200203,KS,0.53
200204,KS,2.34
200205,KS,3.9
200206,KS,2.74
200207,KS,1.72
200208,KS,3.09
200209,KS,1.5
200210,KS,4.43
200211,KS,0.24
200212,KS,0.47
200301,KS,0.18
200302,KS,1.15
200303,KS,2.22
200304,KS,3.23
200305,KS,3.47
200306,KS,4.19
200307,KS,0.85
200308,KS,4.31
200309,KS,2.51
200310,KS,1.21
200311,KS,0.64
200312,KS,1.15
200401,KS,0.83
200402,KS,0.86
200403,KS,3.38
200404,KS,2.5
200405,KS,2.47
200406,KS,5.34
200407,KS,5.81
200408,KS,2.51
200409,KS,2.15
200410,KS,2.29
200411,KS,2.47
200412,KS,0.3
200501,KS,1.77
200502,KS,1.59
200503,KS,1.37
200504,KS,2.02
200505,KS,3.18
200506,KS,6.03
200507,KS,3.22
200508,KS,5.16
200509,KS,1.58
200510,KS,2.58
200511,KS,0.68
200512,KS,0.42
200601,KS,0.3
200602,KS,0.01
200603,KS,1.87
200604,KS,2.43
200605,KS,2.76
200606,KS,3.02
200607,KS,2.39
200608,KS,4.77
200609,KS,1.9
200610,KS,2.14
200611,KS,0.47
200612,KS,2.67
200701,KS,0.89
200702,KS,0.88
200703,KS,3.44
200704,KS,2.98
200705,KS,5.98
200706,KS,5.69
200707,KS,3.35
200708,KS,2.57
200709,KS,2.02
200710,KS,2.83
200711,KS,0.15
200712,KS,2.48
200801,KS,0.4
200802,KS,1.38
200803,KS,1.47
200804,KS,2.81
200805,KS,5.13
200806,KS,4.81
200807,KS,3.37
200808,KS,3.62
200809,KS,3.97
200810,KS,4.78
200811,KS,0.95
200812,KS,0.65
200901,KS,0.08
200902,KS,0.51
200903,KS,1.87
200904,KS,4.8
200905,KS,2.74
200906,KS,4.71
200907,KS,3.99
200908,KS,3.83
200909,KS,3.4
200910,KS,3.81
200911,KS,1.08
200912,KS,0.98
201001,KS,0.48
201002,KS,0.86
201003,KS,2.08
201004,KS,2.62
201005,KS,4.06
201006,KS,4.7
201007,KS,4.55
201008,KS,2.93
201009,KS,3.14
201010,KS,0.69
201011,KS,1.53
201012,KS,0.2
201101,KS,0.46
201102,KS,1.09
201103,KS,1.11
201104,KS,1.86
201105,KS,3.44
201106,KS,2.66
201107,KS,2.59
201108,KS,3.33
201109,KS,1.27
201110,KS,1.6
201111,KS,2.5
201112,KS,2.26
201201,KS,0.07
201202,KS,1.81
201203,KS,2.45
201204,KS,3.08
201205,KS,1.47
201206,KS,2.16
201207,KS,1.28
201208,KS,2.61
201209,KS,2.09
201210,KS,1.14
201211,KS,0.58
201212,KS,0.55
201301,KS,0.84
201302,KS,1.63
201303,KS,1.21
201304,KS,2.44
201305,KS,3.96
201306,KS,2.78
201307,KS,4.46
201308,KS,4.91
201309,KS,2.74
201310,KS,2.64
201311,KS,1.03
201312,KS,0.39
201401,KS,0.24
201402,KS,0.75
201403,KS,0.48
201404,KS,1.59
201405,KS,1.98
201406,KS,7.58
201407,KS,2.39
201408,KS,3.06
201409,KS,2.98
201410,KS,2.75
201411,KS,0.29
201412,KS,1.34
201501,KS,0.37
201502,KS,0.83
201503,KS,0.49
201504,KS,2.76
201505,KS,8.28
201506,KS,3.34
201507,KS,4.93
201508,KS,2.95
201509,KS,1.58
201510,KS,1.78
201511,KS,3.1
201512,KS,2.36
201601,KS,0.48
201602,KS,0.55
201603,KS,0.77
201604,KS,5.34
201605,KS,4.58
201606,KS,2.3
201607,KS,5.05
201608,KS,4.9
201609,KS,4.11
201610,KS,1.44
201611,KS,0.47
201612,KS,0.69
201701,KS,1.56
201702,KS,0.24
201703,KS,2.79
201704,KS,5.07
201705,KS,4.83
201706,KS,3.2
201707,KS,2.39
201708,KS,3.56
201709,KS,2.39
201710,KS,2.73
201711,KS,0.16
201712,KS,0.11
201801,KS,0.39
201802,KS,0.6
201803,KS,1.02
201804,KS,1.21
201805,KS,4.1
201806,KS,3.82
201807,KS,4.19
201808,KS,4.33
201809,KS,3.33
201810,KS,5.86
201811,KS,0.81
201812,KS,2.19
201901,KS,1.03
201902,KS,1.02
201903,KS,2.12
201904,KS,1.67
201905,KS,10.51
201906,KS,4.45
201907,KS,2.32
201908,KS,7
201909,KS,2.02
201910,KS,1.96
201911,KS,0.65
201912,KS,1.28
202001,KS,1.33
202002,KS,1.29
202003,KS,2.06
202004,KS,1.37
202005,KS,4.09
202006,KS,2.73
202007,KS,6.32
202008,KS,1.68
202009,KS,1.65
202010,KS,1.09
202011,KS,1.31
202012,KS,0.93
202101,KS,1.38
202102,KS,0.22
202103,KS,4.04
202104,KS,1.51
202105,KS,5.56
202106,KS,2.8
202107,KS,2.8
202108,KS,2.53
202109,KS,2.77
202110,KS,3.05
202111,KS,0.39
202112,KS,0.2
202201,KS,0.37
202202,KS,0.37
202203,KS,2.16
202204,KS,0.98
202205,KS,5.35
202206,KS,3.47
202207,KS,3.01
202208,KS,1.23
202209,KS,1.36
202210,KS,0.71
202211,KS,1.49
202212,KS,0.74
202301,KS,1.07
202302,KS,1.1
202303,KS,0.57
202304,KS,1.32
202305,KS,3.61
202306,KS,4.01
202307,KS,4.41
202308,KS,2.89
202309,KS,1.63
202310,KS,1.86
202311,KS,0.97
202312,KS,2.16
200101,KY,2.09
200102,KY,4.22
200103,KY,2.82
200104,KY,1.91
200105,KY,4.57
200106,KY,3.99
200107,KY,6.33
200108,KY,3.68
200109,KY,2.59
200110,KY,4.4
200111,KY,4.36
200112,KY,4.47
200201,KY,3.87
200202,KY,1.6
200203,KY,7.41
200204,KY,4.96
200205,KY,6.23
200206,KY,3.75
200207,KY,3.4
200208,KY,2.28
200209,KY,6.15
200210,KY,5.47
200211,KY,3.52
200212,KY,4.87
200301,KY,1.98
200302,KY,6.81
200303,KY,2.16
200304,KY,5.52
200305,KY,6.8
200306,KY,6.1
200307,KY,4.67
200308,KY,4.87
200309,KY,5.75
200310,KY,2.42
200311,KY,5.57
200312,KY,3.33
200401,KY,3.88
200402,KY,2.63
200403,KY,4.23
200404,KY,4.65
200405,KY,8.28
200406,KY,4.01
200407,KY,5.26
200408,KY,3.97
200409,KY,3.95
200410,KY,4.76
200411,KY,5.68
200412,KY,4.64
200501,KY,4.9
200502,KY,2.57
200503,KY,3.76
200504,KY,4.86
200505,KY,2.44
200506,KY,2.7
200507,KY,4.23
200508,KY,6.51
200509,KY,1.3
200510,KY,1.09
200511,KY,3.04
200512,KY,2.4
200601,KY,5.41
200602,KY,2.22
200603,KY,3.55
200604,KY,4.45
200605,KY,4.3
200606,KY,4
200607,KY,4.53
200608,KY,4.63
200609,KY,8.19
200610,KY,4.91
200611,KY,3.22
200612,KY,2.96
200701,KY,4.18
200702,KY,2.35
200703,KY,2.76
200704,KY,3.87
200705,KY,2.05
200706,KY,3.03
200707,KY,4.28
200708,KY,1.68
200709,KY,2.1
200710,KY,5.58
200711,KY,3.31
200712,KY,6.67
200801,KY,3.23
200802,KY,4.56
200803,KY,6.96
200804,KY,5.36
200805,KY,4.97
200806,KY,3.31
200807,KY,4.65
200808,KY,1.61
200809,KY,0.9
200810,KY,2.29
200811,KY,2.6
200812,KY,6.07
200901,KY,4.59
200902,KY,2.47
200903,KY,3.25
200904,KY,4.84
200905,KY,6.61
200906,KY,5.69
200907,KY,6.66
200908,KY,3.12
200909,KY,5.49
200910,KY,6.38
200911,KY,1.07
200912,KY,4.18
201001,KY,3.52
201002,KY,2.25
201003,KY,2.69
201004,KY,3.19
201005,KY,8.21
201006,KY,4.25
201007,KY,4.58
201008,KY,3.44
201009,KY,1.81
201010,KY,1.69
201011,KY,4.9
201012,KY,3.01
201101,KY,2.16
201102,KY,4.88
201103,KY,5.51
201104,KY,12.07
201105,KY,6.75
201106,KY,5.36
201107,KY,3.94
201108,KY,2.31
201109,KY,5.89
201110,KY,2.94
201111,KY,7.58
201112,KY,4.96
201201,KY,3.8
201202,KY,2.32
201203,KY,4.5
201204,KY,2.33
201205,KY,4.25
201206,KY,1.5
201207,KY,5.54
201208,KY,3.17
201209,KY,5.88
201210,KY,3.03
201211,KY,1.34
201212,KY,5.55
201301,KY,5.6
201302,KY,2.19
201303,KY,4.95
201304,KY,4.96
201305,KY,4.44
201306,KY,6.23
201307,KY,6.42
201308,KY,4.14
201309,KY,3.66
201310,KY,3.66
201311,KY,3.4
201312,KY,6.13
201401,KY,2.34
201402,KY,4.47
201403,KY,3.44
201404,KY,6.43
201405,KY,3.65
201406,KY,3.98
201407,KY,3.67
201408,KY,5.46
201409,KY,2.19
201410,KY,5.69
201411,KY,2.43
201412,KY,3.36
201501,KY,1.97
201502,KY,3.26
201503,KY,6.34
201504,KY,8.28
201505,KY,2.67
201506,KY,5.47
201507,KY,9.37
201508,KY,3.19
201509,KY,2.89
201510,KY,3.96
201511,KY,4.38
201512,KY,6.52
201601,KY,1.88
201602,KY,4.97
201603,KY,4.22
201604,KY,3.64
201605,KY,6.06
201606,KY,3.74
201607,KY,8.39
201608,KY,5
201609,KY,2.13
201610,KY,1.05
201611,KY,2.07
201612,KY,6.04
201701,KY,4.25
201702,KY,2
201703,KY,4.58
201704,KY,4.48
201705,KY,6.1
201706,KY,4.96
201707,KY,4.61
201708,KY,4.38
201709,KY,4.45
201710,KY,5.24
201711,KY,2.29
201712,KY,2.92
201801,KY,2.47
201802,KY,8.99
201803,KY,5.18
201804,KY,4.45
201805,KY,4.88
201806,KY,6.16
201807,KY,4.27
201808,KY,4.8
201809,KY,8.06
201810,KY,3.07
201811,KY,5.82
201812,KY,5.59
201901,KY,4.73
201902,KY,9.39
201903,KY,3.68
201904,KY,4.94
201905,KY,4.43
201906,KY,8.1
201907,KY,5.23
201908,KY,3.46
201909,KY,0.22
201910,KY,6.34
201911,KY,4.69
201912,KY,6.1
202001,KY,4.47
202002,KY,6.42
202003,KY,6.84
202004,KY,4.95
202005,KY,5.58
202006,KY,5.16
202007,KY,5.22
202008,KY,5.14
202009,KY,3.98
202010,KY,4.63
202011,KY,2.23
202012,KY,3.49
202101,KY,4.12
202102,KY,4.51
202103,KY,6.78
202104,KY,3.08
202105,KY,3.57
202106,KY,5.02
202107,KY,6.2
202108,KY,5.28
202109,KY,4.23
202110,KY,4.38
202111,KY,1.98
202112,KY,4.24
202201,KY,5.3
202202,KY,6.42
202203,KY,3.4
202204,KY,4.39
202205,KY,4.86
202206,KY,2.7
202207,KY,8.04
202208,KY,4.57
202209,KY,1.91
202210,KY,1.4
202211,KY,2.58
202212,KY,3.74
202301,KY,5.45
202302,KY,4.06
202303,KY,5.03
202304,KY,3.43
202305,KY,3.28
202306,KY,4.06
202307,KY,5.84
202308,KY,4.64
202309,KY,1.79
202310,KY,2.33
202311,KY,1.55
202312,KY,2.6
200101,LA,5.58
200102,LA,3.57
200103,LA,9.32
200104,LA,1.87
200105,LA,1.94
200106,LA,12.5
200107,LA,4.34
200108,LA,6.32
200109,LA,6.34
200110,LA,5.04
200111,LA,5.94
200112,LA,5.55
200201,LA,4.01
200202,LA,2.95
200203,LA,5.58
200204,LA,3.72
200205,LA,2.41
200206,LA,4.83
200207,LA,5.4
200208,LA,4.89
200209,LA,6.18
200210,LA,10.85
200211,LA,5.48
200212,LA,7.97
200301,LA,1.11
200302,LA,7.18
200303,LA,3.33
200304,LA,3.44
200305,LA,2.37
200306,LA,8.43
200307,LA,5.88
200308,LA,4.19
200309,LA,4.82
200310,LA,2.38
200311,LA,5.48
200312,LA,3.34
200401,LA,5.12
200402,LA,8.78
200403,LA,2.48
200404,LA,4.45
200405,LA,10.02
200406,LA,11.61
200407,LA,4.33
200408,LA,3.4
200409,LA,1.75
200410,LA,7.24
200411,LA,9.23
200412,LA,4.07
200501,LA,3.59
200502,LA,6.73
200503,LA,3.35
200504,LA,3.33
200505,LA,3.28
200506,LA,2.97
200507,LA,5.59
200508,LA,4.3
200509,LA,5.96
