Date,state,average temperature (F)
201903,IL,37.3
201904,IL,52.5
201905,IL,62.5
201906,IL,70.9
201907,IL,77.4
201908,IL,72.8
201909,IL,71.6
201910,IL,53.7
201911,IL,36.2
201912,IL,35.6
202001,IL,31.8
202002,IL,31.9
202003,IL,44.4
202004,IL,49.6
202005,IL,60.6
202006,IL,73.6
202007,IL,77.3
202008,IL,72.8
202009,IL,65.6
202010,IL,52
202011,IL,47.1
202012,IL,33
202101,IL,29.5
202102,IL,20.8
202103,IL,46.2
202104,IL,52.5
202105,IL,61.1
202106,IL,74.1
202107,IL,74.6
202108,IL,75.5
202109,IL,69.6
202110,IL,60.2
202111,IL,40.9
202112,IL,40.2
202201,IL,22.2
202202,IL,28
202203,IL,43.1
202204,IL,49.6
202205,IL,65.3
202206,IL,73.5
202207,IL,75.8
202208,IL,73.6
202209,IL,67
202210,IL,53.3
202211,IL,43
202212,IL,30.3
202301,IL,34.4
202302,IL,36.3
202303,IL,40.9
202304,IL,53.4
202305,IL,64.2
202306,IL,71.5
202307,IL,75.3
202308,IL,73.5
202309,IL,68.3
202310,IL,56.6
202311,IL,42.9
202312,IL,39.6
200101,IN,26.9
200102,IN,33.5
200103,IN,37.2
200104,IN,56.5
200105,IN,64
200106,IN,69.1
200107,IN,73.7
200108,IN,73.8
200109,IN,63.6
200110,IN,53.7
200111,IN,49
200112,IN,36.9
200201,IN,34.1
200202,IN,35.2
200203,IN,38.3
200204,IN,53.5
200205,IN,58.4
200206,IN,72.9
200207,IN,77
200208,IN,74.8
200209,IN,69.2
200210,IN,52.4
200211,IN,39.9
200212,IN,31.7
200301,IN,21.6
200302,IN,25.7
200303,IN,42.1
200304,IN,53.2
200305,IN,60.5
200306,IN,67.1
200307,IN,73
200308,IN,73.8
200309,IN,63.4
200310,IN,52.9
200311,IN,46
200312,IN,33.5
200401,IN,24.5
200402,IN,29.9
200403,IN,44.3
200404,IN,53.3
200405,IN,65.9
200406,IN,69.5
200407,IN,72
200408,IN,68.6
200409,IN,67.1
200410,IN,54.8
200411,IN,45.9
200412,IN,30.8
200501,IN,29.9
200502,IN,34.8
200503,IN,37.3
200504,IN,54
200505,IN,59.2
200506,IN,73.4
200507,IN,75
200508,IN,74.9
200509,IN,69.2
200510,IN,55.2
200511,IN,44.6
200512,IN,26.7
200601,IN,39.1
200602,IN,31.7
200603,IN,40.7
200604,IN,55.7
200605,IN,60.1
200606,IN,69.8
200607,IN,75.4
200608,IN,73.6
200609,IN,62.5
200610,IN,51.1
200611,IN,44.1
200612,IN,37.3
200701,IN,32.2
200702,IN,20.2
200703,IN,47
200704,IN,49.4
200705,IN,66.2
200706,IN,72.1
200707,IN,71.9
200708,IN,76.8
200709,IN,69
200710,IN,60.2
200711,IN,41.9
200712,IN,32.5
200801,IN,27.7
200802,IN,28.2
200803,IN,38.6
200804,IN,52.3
200805,IN,58.1
200806,IN,72.2
200807,IN,73.3
200808,IN,71.2
200809,IN,67.6
200810,IN,53.7
200811,IN,40.5
200812,IN,29.1
200901,IN,21.3
200902,IN,32.2
200903,IN,44.2
200904,IN,51.5
200905,IN,62
200906,IN,71.6
200907,IN,69.2
200908,IN,70.7
200909,IN,65.5
200910,IN,50.5
200911,IN,46.3
200912,IN,30.4
201001,IN,23.9
201002,IN,25.7
201003,IN,43.6
201004,IN,57.3
201005,IN,64.3
201006,IN,74.1
201007,IN,76.4
201008,IN,75.6
201009,IN,67.2
201010,IN,56
201011,IN,42.8
201012,IN,24.3
201101,IN,23.7
201102,IN,31.2
201103,IN,41.7
201104,IN,53
201105,IN,62.1
201106,IN,72.2
201107,IN,78.8
201108,IN,73.1
201109,IN,63.6
201110,IN,53.9
201111,IN,46.9
201112,IN,36.6
201201,IN,32.4
201202,IN,35.4
201203,IN,55
201204,IN,52.9
201205,IN,67.7
201206,IN,71.6
201207,IN,80.2
201208,IN,71.9
201209,IN,64.2
201210,IN,52.1
201211,IN,40
201212,IN,38.2
201301,IN,29.9
201302,IN,30.2
201303,IN,34.8
201304,IN,50.8
201305,IN,64.4
201306,IN,70.8
201307,IN,72.3
201308,IN,71.5
201309,IN,66.9
201310,IN,54.3
201311,IN,39.2
201312,IN,29.4
201401,IN,19.4
201402,IN,22
201403,IN,34.1
201404,IN,52.4
201405,IN,62.9
201406,IN,72.6
201407,IN,69.1
201408,IN,72.4
201409,IN,64
201410,IN,53.8
201411,IN,35.6
201412,IN,34.6
201501,IN,25.3
201502,IN,19.3
201503,IN,37.2
201504,IN,52.9
201505,IN,65
201506,IN,71
201507,IN,72.9
201508,IN,70.6
201509,IN,68.8
201510,IN,55.6
201511,IN,46.6
201512,IN,42.5
201601,IN,27.5
201602,IN,33.9
201603,IN,47.3
201604,IN,52
201605,IN,60.6
201606,IN,72.9
201607,IN,74.6
201608,IN,75.7
201609,IN,69.9
201610,IN,59.5
201611,IN,47
201612,IN,29.8
201701,IN,33.8
201702,IN,41.3
201703,IN,42.6
201704,IN,57
201705,IN,60.9
201706,IN,71.1
201707,IN,74.2
201708,IN,70
201709,IN,67.2
201710,IN,57.6
201711,IN,42.4
201712,IN,29.6
201801,IN,24.5
201802,IN,35.1
201803,IN,38.2
201804,IN,45.1
201805,IN,69.7
201806,IN,73.4
201807,IN,74.1
201808,IN,74
201809,IN,69.9
201810,IN,54.9
201811,IN,36.8
201812,IN,35.4
201901,IN,27
201902,IN,32.3
201903,IN,37.2
201904,IN,52.2
201905,IN,62.6
201906,IN,69.9
201907,IN,76.3
201908,IN,72.3
201909,IN,70.8
201910,IN,55.5
201911,IN,36.5
201912,IN,36.2
202001,IN,34.3
202002,IN,32.8
202003,IN,44.6
202004,IN,48.9
202005,IN,59.7
202006,IN,72.1
202007,IN,76.5
202008,IN,72
202009,IN,65.2
202010,IN,53.1
202011,IN,46.7
202012,IN,33.6
202101,IN,30.5
202102,IN,23.7
202103,IN,45.8
202104,IN,51.9
202105,IN,59.6
202106,IN,72.7
202107,IN,73.7
202108,IN,75
202109,IN,68.4
202110,IN,60.2
202111,IN,40
202112,IN,40.5
202201,IN,24.3
202202,IN,29.8
202203,IN,43.7
202204,IN,49.3
202205,IN,64.9
202206,IN,72.1
202207,IN,75.3
202208,IN,73
202209,IN,66.1
202210,IN,52.8
202211,IN,43.1
202212,IN,31.7
202301,IN,36.4
202302,IN,38.3
202303,IN,40.9
202304,IN,52.7
202305,IN,62
202306,IN,69.2
202307,IN,74.2
202308,IN,71.8
202309,IN,67.1
202310,IN,56.4
202311,IN,43
202312,IN,39.9
200101,IA,20.8
200102,IA,18.1
200103,IA,30.2
200104,IA,52.7
200105,IA,60.9
200106,IA,68.3
200107,IA,75.1
200108,IA,72.5
200109,IA,61.2
200110,IA,50.2
200111,IA,48
200112,IA,30.7
200201,IA,28.6
200202,IA,29.8
200203,IA,31
200204,IA,48.9
200205,IA,56.8
200206,IA,72.4
200207,IA,76.5
200208,IA,70.9
200209,IA,65.3
200210,IA,46.2
200211,IA,34.7
200212,IA,28.9
200301,IA,19.1
200302,IA,20.4
200303,IA,35.1
200304,IA,50.4
200305,IA,57.9
200306,IA,67.3
200307,IA,73
200308,IA,74.1
200309,IA,61.1
200310,IA,52.4
200311,IA,35.9
200312,IA,28.2
200401,IA,17.7
200402,IA,22.7
200403,IA,40.8
200404,IA,51.1
200405,IA,60.7
200406,IA,66.9
200407,IA,70.5
200408,IA,66.2
200409,IA,66.4
200410,IA,51.9
200411,IA,40.6
200412,IA,26.6
200501,IA,18.9
200502,IA,31.2
200503,IA,36
200504,IA,53.4
200505,IA,57.8
200506,IA,72.6
200507,IA,74.7
200508,IA,71.5
200509,IA,67.6
200510,IA,52.6
200511,IA,39.6
200512,IA,19.5
200601,IA,32.4
200602,IA,25.1
200603,IA,36.5
200604,IA,53.8
200605,IA,60.6
200606,IA,70
200607,IA,75.9
200608,IA,72.1
200609,IA,60
200610,IA,47.9
200611,IA,39.3
200612,IA,31.1
200701,IA,21.6
200702,IA,15.5
200703,IA,41.8
200704,IA,46.7
200705,IA,64.7
200706,IA,70.4
200707,IA,73.7
200708,IA,74.2
200709,IA,64.7
200710,IA,55.9
200711,IA,37.2
200712,IA,20.3
200801,IA,16.6
200802,IA,17
200803,IA,32.6
200804,IA,46
200805,IA,57.4
200806,IA,69.3
200807,IA,73.1
200808,IA,69.9
200809,IA,63.5
200810,IA,50.7
200811,IA,37.3
200812,IA,17.6
200901,IA,13.2
200902,IA,26.7
200903,IA,37.1
200904,IA,47
200905,IA,59.8
200906,IA,68.9
200907,IA,68
200908,IA,68.3
200909,IA,63.3
200910,IA,44.9
200911,IA,43.4
200912,IA,19.8
201001,IA,13.6
201002,IA,17.3
201003,IA,38.4
201004,IA,55.2
201005,IA,59.9
201006,IA,70.8
201007,IA,74.6
201008,IA,74.4
201009,IA,63.1
201010,IA,53.9
201011,IA,38
201012,IA,19.1
201101,IA,14.8
201102,IA,22.6
201103,IA,35.1
201104,IA,47.6
201105,IA,59.1
201106,IA,69.6
201107,IA,78
201108,IA,72
201109,IA,60.2
201110,IA,53.4
201111,IA,39.4
201112,IA,29.1
201201,IA,26.5
201202,IA,29.6
201203,IA,51.6
201204,IA,52.4
201205,IA,65
201206,IA,71.4
201207,IA,79.6
201208,IA,71
201209,IA,62.1
201210,IA,48.8
201211,IA,39.1
201212,IA,27.7
201301,IA,22
201302,IA,24.2
201303,IA,29
201304,IA,43.8
201305,IA,59
201306,IA,68.9
201307,IA,72.3
201308,IA,71.9
201309,IA,67
201310,IA,50.5
201311,IA,33.9
201312,IA,17.4
201401,IA,14.2
201402,IA,13.2
201403,IA,29.7
201404,IA,47.5
201405,IA,60
201406,IA,70.2
201407,IA,68.8
201408,IA,71.2
201409,IA,62
201410,IA,51.2
201411,IA,29.3
201412,IA,28.2
201501,IA,21.6
201502,IA,14.5
201503,IA,37.3
201504,IA,51.1
201505,IA,60
201506,IA,69.4
201507,IA,72
201508,IA,68.9
201509,IA,68.4
201510,IA,53
201511,IA,42
201512,IA,33
201601,IA,19.6
201602,IA,28.6
201603,IA,42.4
201604,IA,50.1
201605,IA,59.5
201606,IA,73
201607,IA,72.8
201608,IA,72
201609,IA,67.3
201610,IA,55.3
201611,IA,45.1
201612,IA,22.9
201701,IA,24.2
201702,IA,34.5
201703,IA,37.5
201704,IA,51.1
201705,IA,58.5
201706,IA,71.1
201707,IA,74.7
201708,IA,67.8
201709,IA,66.7
201710,IA,53.3
201711,IA,36.2
201712,IA,24.4
201801,IA,17.8
201802,IA,20.5
201803,IA,35.2
201804,IA,39.3
201805,IA,67
201806,IA,73.1
201807,IA,73.1
201808,IA,71.8
201809,IA,65.9
201810,IA,48.2
201811,IA,30
201812,IA,28
201901,IA,18.7
201902,IA,15.3
201903,IA,31.1
201904,IA,49.2
201905,IA,56.6
201906,IA,69.3
201907,IA,75.1
201908,IA,69.6
201909,IA,68.2
201910,IA,47.1
201911,IA,32.4
201912,IA,29.2
202001,IA,23.1
202002,IA,24.9
202003,IA,40.3
202004,IA,46.7
202005,IA,57.6
202006,IA,72.9
202007,IA,75.3
202008,IA,71.9
202009,IA,61.9
202010,IA,46
202011,IA,42
202012,IA,27.2
202101,IA,23.9
202102,IA,12.5
202103,IA,42.3
202104,IA,49.3
202105,IA,59
202106,IA,73.5
202107,IA,73.4
202108,IA,72.9
202109,IA,66.6
202110,IA,55.5
202111,IA,39.2
202112,IA,31.9
202201,IA,14.9
202202,IA,21.3
202203,IA,37.1
202204,IA,43.8
202205,IA,61.3
202206,IA,71.6
202207,IA,74.2
202208,IA,72
202209,IA,65.1
202210,IA,50.4
202211,IA,37.1
202212,IA,21.3
202301,IA,24.2
202302,IA,26.2
202303,IA,34
202304,IA,49.3
202305,IA,62.7
202306,IA,71.3
202307,IA,72
202308,IA,72.5
202309,IA,67.2
202310,IA,53.4
202311,IA,38.9
202312,IA,34.5
200101,KS,31
200102,KS,30.4
200103,KS,41.1
200104,KS,58.3
200105,KS,65.1
200106,KS,72.9
200107,KS,83
200108,KS,79
200109,KS,67.9
200110,KS,56.2
200111,KS,49.2
200112,KS,36.9
200201,KS,33.8
200202,KS,35.9
200203,KS,39.2
200204,KS,56.4
200205,KS,62.1
200206,KS,76.9
200207,KS,80.7
200208,KS,78.4
200209,KS,70.4
200210,KS,50.5
200211,KS,42.4
200212,KS,35.5
200301,KS,31.8
200302,KS,31.3
200303,KS,44.2
200304,KS,56.1
200305,KS,62.9
200306,KS,70.4
200307,KS,81.8
200308,KS,80.2
200309,KS,65.1
200310,KS,58.3
200311,KS,42.2
200312,KS,35.3
200401,KS,30.4
200402,KS,31.8
200403,KS,49.2
200404,KS,54.9
200405,KS,66.9
200406,KS,71.2
200407,KS,75.2
200408,KS,72.7
200409,KS,70.8
200410,KS,57.8
200411,KS,44.2
200412,KS,35.7
200501,KS,29.9
200502,KS,39.2
200503,KS,44.7
200504,KS,55
200505,KS,64.1
200506,KS,74.7
200507,KS,78.7
200508,KS,77.3
200509,KS,72.2
200510,KS,57.7
200511,KS,46.4
200512,KS,30.8
200601,KS,41.3
200602,KS,34.5
200603,KS,45.6
200604,KS,59.6
200605,KS,65.8
200606,KS,75.8
200607,KS,81.1
200608,KS,78.8
200609,KS,64.4
200610,KS,55.1
200611,KS,44.6
200612,KS,35.9
200701,KS,27
200702,KS,30
200703,KS,52.3
200704,KS,50.9
200705,KS,65.9
200706,KS,72.3
200707,KS,78
200708,KS,81.5
200709,KS,70.5
200710,KS,59.1
200711,KS,44.1
200712,KS,29.3
200801,KS,30
200802,KS,32.3
200803,KS,43.2
200804,KS,50.5
200805,KS,63
200806,KS,73.8
200807,KS,78.6
200808,KS,75.2
200809,KS,66.4
200810,KS,55.4
200811,KS,44.6
200812,KS,29.9
200901,KS,31.4
200902,KS,39.7
200903,KS,44.4
200904,KS,52.1
200905,KS,63
200906,KS,74.4
200907,KS,75.6
200908,KS,74.4
200909,KS,65.3
200910,KS,48.8
200911,KS,47.6
200912,KS,26.5
201001,KS,27.2
201002,KS,29.9
201003,KS,44.2
201004,KS,57.8
201005,KS,62.1
201006,KS,77
201007,KS,79.6
201008,KS,79.7
201009,KS,70.8
201010,KS,59.1
201011,KS,43.6
201012,KS,32.3
201101,KS,27.3
201102,KS,30.2
201103,KS,44.1
201104,KS,55.2
201105,KS,62.6
201106,KS,76.8
201107,KS,84.9
201108,KS,80.9
201109,KS,66.2
201110,KS,57.5
201111,KS,43.7
201112,KS,33.1
201201,KS,36.1
201202,KS,37.1
201203,KS,55.5
201204,KS,59.2
201205,KS,69
201206,KS,77.5
201207,KS,84.4
201208,KS,76.5
201209,KS,68.2
201210,KS,54
201211,KS,46.5
201212,KS,34.6
201301,KS,32.3
201302,KS,33.6
201303,KS,40.3
201304,KS,48.4
201305,KS,63.3
201306,KS,75.2
201307,KS,77.2
201308,KS,76.5
201309,KS,72.1
201310,KS,55.2
201311,KS,41.3
201312,KS,29.2
201401,KS,29.6
201402,KS,27.8
201403,KS,40.6
201404,KS,54
201405,KS,64.7
201406,KS,73.6
201407,KS,75.4
201408,KS,78.3
201409,KS,68.2
201410,KS,58.9
201411,KS,38.5
201412,KS,34.6
201501,KS,32.1
201502,KS,31.2
201503,KS,46.8
201504,KS,56.4
201505,KS,61.7
201506,KS,75.8
201507,KS,78.9
201508,KS,75.2
201509,KS,74.2
201510,KS,59.2
201511,KS,46.5
201512,KS,37.6
201601,KS,32
201602,KS,40.8
201603,KS,49.7
201604,KS,56.3
201605,KS,61.6
201606,KS,77.5
201607,KS,79.7
201608,KS,76.4
201609,KS,70.8
201610,KS,61.5
201611,KS,49.9
201612,KS,29.8
201701,KS,33
201702,KS,43.1
201703,KS,48.9
201704,KS,55.6
201705,KS,62.2
201706,KS,75.1
201707,KS,80.1
201708,KS,73.1
201709,KS,70.5
201710,KS,57.6
201711,KS,45.2
201712,KS,33.6
201801,KS,29.9
201802,KS,31.9
201803,KS,45.9
201804,KS,47.6
201805,KS,71.1
201806,KS,78.2
201807,KS,78.7
201808,KS,75.7
201809,KS,70.1
201810,KS,53.6
201811,KS,38.2
201812,KS,34.3
201901,KS,31.3
201902,KS,27.9
201903,KS,39.4
201904,KS,55.4
201905,KS,60.5
201906,KS,72.4
201907,KS,78.6
201908,KS,77.1
201909,KS,75.2
201910,KS,51.1
201911,KS,40.2
201912,KS,36.7
202001,KS,34
202002,KS,34.9
202003,KS,47.9
202004,KS,52.7
202005,KS,61.7
202006,KS,77.7
202007,KS,79.2
202008,KS,76.4
202009,KS,66.3
202010,KS,52.6
202011,KS,48.1
202012,KS,35.9
202101,KS,34
202102,KS,24.1
202103,KS,48.1
202104,KS,52.5
202105,KS,61.9
202106,KS,75.8
202107,KS,77.7
202108,KS,79.1
202109,KS,73.3
202110,KS,59.1
202111,KS,46.7
202112,KS,41.1
202201,KS,29.8
202202,KS,31.8
202203,KS,44
202204,KS,54.1
202205,KS,64.6
202206,KS,75.8
202207,KS,81.1
202208,KS,79.2
202209,KS,72
202210,KS,57.7
202211,KS,41.1
202212,KS,30.6
202301,KS,33.1
202302,KS,35.2
202303,KS,42.1
202304,KS,54.6
202305,KS,65.8
202306,KS,73.4
202307,KS,78.3
202308,KS,78.8
202309,KS,72.4
202310,KS,58
202311,KS,45.2
202312,KS,39.2
200101,KY,31.8
200102,KY,41.3
200103,KY,41.4
200104,KY,59.9
200105,KY,66.2
200106,KY,71
200107,KY,75.7
200108,KY,76.4
200109,KY,66.3
200110,KY,56.1
200111,KY,51.2
200112,KY,41.8
200201,KY,37.9
200202,KY,38.8
200203,KY,45.6
200204,KY,58.6
200205,KY,62.1
200206,KY,74.3
200207,KY,78.3
200208,KY,77.2
200209,KY,71.7
200210,KY,57.4
200211,KY,43.6
200212,KY,36.5
200301,KY,28.4
200302,KY,33.6
200303,KY,48.8
200304,KY,57.7
200305,KY,64.2
200306,KY,68.7
200307,KY,75.2
200308,KY,75.9
200309,KY,66.2
200310,KY,56.7
200311,KY,50.5
200312,KY,37
200401,KY,32.5
200402,KY,36.9
200403,KY,49.3
200404,KY,55.8
200405,KY,69.2
200406,KY,72.1
200407,KY,74.3
200408,KY,71.2
200409,KY,68.7
200410,KY,60
200411,KY,50.5
200412,KY,36.4
200501,KY,39
200502,KY,40.9
200503,KY,42.6
200504,KY,57
200505,KY,61.7
200506,KY,73.9
200507,KY,77.4
200508,KY,78
200509,KY,71.5
200510,KY,57.9
200511,KY,48.2
200512,KY,33.3
200601,KY,43.1
200602,KY,36.2
200603,KY,46.1
200604,KY,60.3
200605,KY,62.6
200606,KY,71.4
200607,KY,76.7
200608,KY,77.4
200609,KY,64.8
200610,KY,54.2
200611,KY,47.3
200612,KY,41.6
200701,KY,38
200702,KY,29.8
200703,KY,53.3
200704,KY,53.5
200705,KY,67.8
200706,KY,73.7
200707,KY,74.6
200708,KY,80.9
200709,KY,71.9
200710,KY,62.4
200711,KY,46
200712,KY,40.7
200801,KY,33.3
200802,KY,37.5
200803,KY,45.2
200804,KY,55.4
200805,KY,61.8
200806,KY,74.3
200807,KY,75.2
200808,KY,73.9
200809,KY,71
200810,KY,56.7
200811,KY,43.2
200812,KY,36.7
200901,KY,30.2
200902,KY,38.9
200903,KY,48.1
200904,KY,55.8
200905,KY,64.8
200906,KY,73.9
200907,KY,71.8
200908,KY,73.6
200909,KY,69
200910,KY,53.8
200911,KY,49.2
200912,KY,35.6
201001,KY,29.8
201002,KY,30.6
201003,KY,46.5
201004,KY,59.9
201005,KY,67.3
201006,KY,77
201007,KY,78.4
201008,KY,78.3
201009,KY,70
201010,KY,58.2
201011,KY,47.1
201012,KY,29
201101,KY,30.2
201102,KY,39.1
201103,KY,47.9
201104,KY,58.8
201105,KY,64.2
201106,KY,74.2
201107,KY,79.5
201108,KY,75.8
201109,KY,66.9
201110,KY,55.6
201111,KY,49.9
201112,KY,41
201201,KY,38.7
201202,KY,41.2
201203,KY,58
201204,KY,57.3
201205,KY,69.4
201206,KY,72.5
201207,KY,80.5
201208,KY,74.6
201209,KY,67.3
201210,KY,55.2
201211,KY,43.2
201212,KY,43
201301,KY,36.7
201302,KY,36.8
201303,KY,39.4
201304,KY,55.2
201305,KY,64.9
201306,KY,72.9
201307,KY,74
201308,KY,73.7
201309,KY,69.1
201310,KY,57.6
201311,KY,42.8
201312,KY,37.4
201401,KY,26.8
201402,KY,33.2
201403,KY,41.5
201404,KY,57.4
201405,KY,66.1
201406,KY,74.1
201407,KY,72.6
201408,KY,75.1
201409,KY,68.2
201410,KY,57.6
201411,KY,39.8
201412,KY,39.7
201501,KY,32.2
201502,KY,26.3
201503,KY,44.5
201504,KY,57.4
201505,KY,67.3
201506,KY,74.2
201507,KY,76.5
201508,KY,72.8
201509,KY,70.2
201510,KY,57.8
201511,KY,50.9
201512,KY,48.7
201601,KY,31.6
201602,KY,38.9
201603,KY,51.8
201604,KY,57.3
201605,KY,62.9
201606,KY,74.9
201607,KY,77.9
201608,KY,78
201609,KY,72.2
201610,KY,62.7
201611,KY,49.9
201612,KY,37
201701,KY,40.9
201702,KY,46.2
201703,KY,47.9
201704,KY,61.5
201705,KY,65
201706,KY,71.7
201707,KY,76.9
201708,KY,73.1
201709,KY,68.3
201710,KY,59.4
201711,KY,47.1
201712,KY,35.8
201801,KY,30
201802,KY,44.6
201803,KY,44.1
201804,KY,50.7
201805,KY,71.8
201806,KY,75.5
201807,KY,76.6
201808,KY,75.8
201809,KY,73.1
201810,KY,58.9
201811,KY,41.9
201812,KY,40.5
201901,KY,35.1
201902,KY,42.3
201903,KY,43.1
201904,KY,57.8
201905,KY,68.4
201906,KY,71.9
201907,KY,77.4
201908,KY,75.6
201909,KY,74.8
201910,KY,60
201911,KY,41.2
201912,KY,42.1
202001,KY,40.2
202002,KY,39.7
202003,KY,51.4
202004,KY,52.8
202005,KY,62.2
202006,KY,72.6
202007,KY,78.7
202008,KY,74.8
202009,KY,68.3
202010,KY,57.8
202011,KY,49.9
202012,KY,37.3
202101,KY,35.7
202102,KY,32.3
202103,KY,50.4
202104,KY,54.6
202105,KY,62.4
202106,KY,73.4
202107,KY,75.8
202108,KY,76.6
202109,KY,68.9
202110,KY,62.4
202111,KY,43.4
202112,KY,47.6
202201,KY,31.3
202202,KY,38.4
202203,KY,49.1
202204,KY,54.4
202205,KY,67.5
202206,KY,74
202207,KY,78.2
202208,KY,75.3
202209,KY,68.1
202210,KY,55
202211,KY,46.8
202212,KY,37.8
202301,KY,42.4
202302,KY,45.7
202303,KY,47.3
202304,KY,56.8
202305,KY,64.1
202306,KY,70.3
202307,KY,76.8
202308,KY,74.8
202309,KY,69.6
202310,KY,59.3
202311,KY,47.4
202312,KY,42.6
200101,LA,45.6
200102,LA,56.6
200103,LA,55.3
200104,LA,69.9
200105,LA,74.3
200106,LA,78.3
200107,LA,82.4
200108,LA,81.4
200109,LA,75.4
200110,LA,64.4
200111,LA,61.9
200112,LA,54.4
200201,LA,51.4
200202,LA,49.3
200203,LA,58.1
200204,LA,69.6
200205,LA,73.9
200206,LA,79
200207,LA,82.3
200208,LA,81.6
200209,LA,78.6
200210,LA,69.4
200211,LA,55.7
200212,LA,50.8
200301,LA,45.6
200302,LA,50.7
200303,LA,58.6
200304,LA,66.7
200305,LA,76.4
200306,LA,79.6
200307,LA,81.3
200308,LA,82.5
200309,LA,76
200310,LA,67.8
200311,LA,61.9
200312,LA,49.4
200401,LA,50.2
200402,LA,49.1
200403,LA,63.2
200404,LA,65.9
200405,LA,73.9
200406,LA,79.2
200407,LA,81.4
200408,LA,79.6
200409,LA,77.8
200410,LA,73.9
200411,LA,61.8
200412,LA,49.7
200501,LA,53.9
200502,LA,55.3
200503,LA,57.8
200504,LA,65.6
200505,LA,72.6
200506,LA,80.2
200507,LA,82.5
200508,LA,83.5
200509,LA,81.3
200510,LA,67.2
200511,LA,61
200512,LA,49.2
200601,LA,55.4
200602,LA,50.9
200603,LA,61.8
200604,LA,71
200605,LA,74.2
200606,LA,80.1
200607,LA,82.2
200608,LA,83.7
200609,LA,75.9
200610,LA,68
200611,LA,58
200612,LA,52.1
200701,LA,49.6
200702,LA,50.6
200703,LA,63.4
200704,LA,63.9
200705,LA,73.9
200706,LA,80.1
200707,LA,80.2
200708,LA,84.1
200709,LA,78.6
200710,LA,69.1
200711,LA,59.7
200712,LA,55.4
200801,LA,48.4
200802,LA,55.2
200803,LA,60
200804,LA,66.5
200805,LA,73.8
200806,LA,81.2
200807,LA,82.9
200808,LA,81.1
200809,LA,75.4
200810,LA,65.9
200811,LA,56.8
200812,LA,52.5
200901,LA,50.5
200902,LA,55.6
200903,LA,60.4
200904,LA,65.5
200905,LA,74.3
200906,LA,81.6
200907,LA,82.6
200908,LA,81.2
200909,LA,77.4
200910,LA,66.7
200911,LA,58.3
200912,LA,48.1
201001,LA,45.6
201002,LA,44.8
201003,LA,55.1
201004,LA,67.6
201005,LA,77.3
201006,LA,83.5
201007,LA,83.4
201008,LA,85
201009,LA,79.8
201010,LA,68.3
201011,LA,59
201012,LA,48.1
201101,LA,46.9
201102,LA,52.5
201103,LA,62
201104,LA,70.4
201105,LA,73.7
201106,LA,83.8
201107,LA,84.1
201108,LA,86.7
201109,LA,76
201110,LA,65.5
201111,LA,59.7
201112,LA,51.3
201201,LA,55.2
201202,LA,56.1
201203,LA,67.4
201204,LA,69.4
201205,LA,76.3
201206,LA,80.7
201207,LA,82.3
201208,LA,82
201209,LA,77.4
201210,LA,65.8
201211,LA,57
201212,LA,55
201301,LA,52.5
201302,LA,54.2
201303,LA,55.3
201304,LA,64.6
201305,LA,71.7
201306,LA,80.9
201307,LA,80.7
201308,LA,82
201309,LA,79.9
201310,LA,68.6
201311,LA,55
201312,LA,49.6
201401,LA,43.4
201402,LA,50.2
201403,LA,55
201404,LA,65.5
201405,LA,71.8
201406,LA,79.8
201407,LA,80
201408,LA,81.3
201409,LA,78.1
201410,LA,69
201411,LA,53.1
201412,LA,53.7
201501,LA,47.2
201502,LA,47.5
201503,LA,60.5
201504,LA,69.8
201505,LA,74.8
201506,LA,80.5
201507,LA,84.2
201508,LA,82.6
201509,LA,78.5
201510,LA,69.7
201511,LA,62.7
201512,LA,59.1
201601,LA,48.8
201602,LA,55.1
201603,LA,63.8
201604,LA,68.2
201605,LA,73.3
201606,LA,80.9
201607,LA,83.7
201608,LA,82.4
201609,LA,80.2
201610,LA,71.4
201611,LA,62.4
201612,LA,54.7
201701,LA,56.8
201702,LA,61.7
201703,LA,64.4
201704,LA,69.4
201705,LA,71.8
201706,LA,78.5
201707,LA,82.4
201708,LA,81
201709,LA,77
201710,LA,69.2
201711,LA,61.6
201712,LA,50.8
201801,LA,44.2
201802,LA,60.5
201803,LA,62.2
201804,LA,62.7
201805,LA,77.8
201806,LA,82.1
201807,LA,83.5
201808,LA,82
201809,LA,80.2
201810,LA,70.7
201811,LA,54.8
201812,LA,52.6
201901,LA,49.9
201902,LA,57.6
201903,LA,58.2
201904,LA,65.2
201905,LA,76
201906,LA,80.2
201907,LA,81.8
201908,LA,83.5
201909,LA,82.2
201910,LA,69.1
201911,LA,54.7
201912,LA,54.1
202001,LA,53.7
202002,LA,54
202003,LA,67.3
202004,LA,66.6
202005,LA,73
202006,LA,79.7
202007,LA,82.8
202008,LA,82.2
202009,LA,77.6
202010,LA,68.2
202011,LA,61.9
202012,LA,50.9
202101,LA,50.6
202102,LA,47.8
202103,LA,62.2
202104,LA,64.7
202105,LA,72.3
202106,LA,80.4
202107,LA,81.8
202108,LA,82.6
202109,LA,76.9
202110,LA,71.7
202111,LA,56.4
202112,LA,62.4
202201,LA,48.2
202202,LA,51.3
202203,LA,58.9
202204,LA,67.4
202205,LA,77
202206,LA,82.7
202207,LA,83.9
202208,LA,81.8
202209,LA,77.3
202210,LA,66.2
202211,LA,58.2
202212,LA,54.1
202301,LA,56
